unit,geo,time,value,flag,crux_ingestion_dt,crux_supplier_implied_dt,crux_delivery_id,crux_resource_id
I00,BE,2018,87.0,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,BG,2000,100.0,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,BG,2001,104.4,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,BG,2002,102.6,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,BG,2003,109.0,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,BG,2004,108.6,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,BG,2005,104.4,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,BG,2006,103.6,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,BG,2007,113.5,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,BG,2008,113.8,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,BG,2009,115.1,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,BG,2010,117.9,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,BG,2011,122.1,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,BG,2012,115.5,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,BG,2013,109.0,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,BG,2014,110.1,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,BG,2015,111.8,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,BG,2016,106.5,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,BG,2017,108.5,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,BG,2018,99.2,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,CY,2000,100.0,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
I00,CY,2001,97.3,,2020-06-23T23:03:43.833455,2020-06-23T23:00:00,8066214f763d9d7377fc91398709502a205bd423a1e8a4eb8f2af7b1091cbcfe.0,EQP-TucKy8DVu6ho7nN5GCj8Qg
